,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,F_PU1,F_PU2,F_PU3,F_PU4,F_PU5,F_PU6,F_PU7,F_PU8,F_PU9,F_PU10,F_PU11,F_V2,S_PU1,S_PU2,S_PU3,S_PU4,S_PU5,S_PU6,S_PU7,S_PU8,S_PU9,S_PU10,S_PU11,S_V2
36000,2.1674802,3.0544739,3.596024,2.390492,1.0746207,5.499999,1.5719757,2.9748886,34.4418,26.895224,89.47755,26.921333,106.14113,16.997997,80.26103,16.787256,88.45554,30.13416,29.234154,0.097264916,0.097284116,0.0,0.034717053,0.0,0.035774957,0.035751298,0.034276363,0.0,0.021701286,0.021665322,0.08701574,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
39600,2.011699,2.8537514,4.0959935,3.4647799,1.5279139,5.499999,3.0763583,2.9753861,35.006435,26.998692,92.56204,27.022612,108.359856,21.178356,83.42042,21.079224,74.64239,30.18076,29.28076,0.09621356,0.096232444,0.0,0.032907553,0.0,0.03384148,0.03381815,0.03484014,0.0,0.028861113,0.0,0.09095658,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
43200,1.9927559,2.9426343,4.677363,4.2088647,2.2111187,5.499999,4.2072845,2.975391,35.010323,27.461674,92.9014,27.519526,88.83576,21.272606,83.94037,21.17445,75.20371,30.408747,29.508747,0.096206285,0.09622517,0.0,0.03298476,0.0,0.0,0.047893744,0.034591492,0.0,0.02870726,0.0,0.089245714,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
46800,2.0576637,3.2727072,5.2572527,3.9646378,2.9260705,5.386397,4.280685,2.9757538,35.421814,29.649624,94.17578,29.747929,68.183975,26.948175,86.46892,26.948175,60.35445,32.179165,31.279163,0.0954375,0.09545615,0.0,0.033549774,0.0,0.0,0.0,0.036356207,0.0,0.0,0.0,0.07986348,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50400,2.249145,3.9844775,5.088426,3.046303,3.6580164,5.1351748,3.1750965,2.9762,35.927597,32.06058,75.83257,32.06058,67.199615,27.44583,87.1787,27.44583,59.36463,34.331837,33.431835,0.09448945,0.09450782,0.0,0.0,0.0,0.0,0.0,0.036238186,0.0,0.0,0.0,0.06673221,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
54000,2.42619,4.3524504,4.8533893,3.7062721,3.766782,5.092275,2.8382614,2.9754374,35.05939,29.746426,73.51246,29.705769,86.86723,27.418148,63.23644,27.295393,69.18004,32.25963,31.359623,0.09611473,0.0961336,0.0,0.0,0.0,0.0,0.05009145,0.0,0.0,0.032390546,0.0,0.077195786,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
57600,2.5097198,4.6401634,4.51501,4.042382,3.0910835,5.3586683,3.239939,2.9750373,34.6074,29.856089,69.95378,29.814342,85.542,27.125887,61.09432,27.00126,67.92858,32.352036,31.452032,0.096957,0.0969761,0.0,0.0,0.0,0.0,0.05081527,0.0,0.0,0.032656506,0.0,0.073198244,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
61200,2.5170681,4.876121,4.0553823,3.9539688,2.213993,5.499999,3.101008,2.9742515,33.728058,29.856007,61.317284,29.81246,83.157745,26.392336,56.011246,26.264036,65.3011,32.32436,31.42436,0.09858813,0.09860773,0.0,0.0,0.0,0.0,0.051982787,0.0,0.0,0.033173308,0.0,0.06634753,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
64800,2.3148339,4.998118,3.3701124,2.9818048,1.4347383,5.27272,1.9237683,2.9729679,32.304237,29.767885,53.105934,29.721586,79.3254,17.125757,76.546104,17.004927,59.8682,32.173805,31.273802,0.10120902,0.101229385,0.0,0.0,0.0,0.0,0.05373656,0.036449708,0.0,0.03211539,0.0,0.049507707,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
68400,1.8940085,4.664515,3.0663261,1.7553773,0.9222207,5.111837,0.5317974,2.9730515,32.397163,26.831837,82.66642,26.863802,101.40921,12.075085,75.615425,11.787781,74.35807,30.134684,29.234684,0.10103872,0.101059034,0.0,0.038457498,0.0,0.039533854,0.039509572,0.034136906,0.0,0.025652053,0.025613321,0.06746337,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
72000,1.518064,4.133371,3.3208036,1.6975111,0.701276,5.3678675,0.41336742,2.9741166,33.575165,27.2192,87.1257,27.24696,104.43416,14.082138,77.782,13.81354,78.682915,30.461823,29.561823,0.09887074,0.09889041,0.0,0.03625347,0.0,0.037480842,0.037456892,0.034035206,0.0,0.024736783,0.024698671,0.07507015,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
75600,1.3048118,3.7561846,3.749373,2.427206,0.9329921,5.499999,1.5477446,2.9746234,34.144005,27.31411,89.92994,27.339521,106.39244,16.462936,79.949814,16.25362,88.08317,30.50933,29.609331,0.09781777,0.09783713,0.0,0.034697335,0.0,0.035919283,0.035895597,0.03414262,0.0,0.021621866,0.021585962,0.07924695,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
79200,1.192242,3.4700997,4.2578907,3.4933736,1.3877364,5.499999,3.06315,2.9750793,34.65972,27.417458,92.46926,27.442665,108.66767,20.493933,82.94526,20.396553,74.79775,30.557793,29.657793,0.09685963,0.0968787,0.0,0.033226036,0.0,0.033948693,0.03392535,0.03471726,0.0,0.02858393,0.0,0.08301223,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
82800,1.224254,3.4639559,4.8331857,4.2289658,2.059286,5.499999,4.2222605,2.975321,34.92897,27.952442,94.67142,28.00697,90.535416,21.077766,84.434715,20.98548,77.78864,30.842506,29.942501,0.09635803,0.096376956,0.0,0.032174274,0.0,0.0,0.047222007,0.034180567,0.0,0.02776635,0.0,0.083248086,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
86400,1.3953273,3.865843,5.258081,4.0270247,2.876399,5.3649096,4.354299,2.9760885,35.80059,31.830769,76.86899,31.830769,69.67992,27.03153,87.207375,27.03153,61.394833,34.09547,33.19547,0.09472782,0.09474627,0.0,0.0,0.0,0.0,0.0,0.03599037,0.0,0.0,0.0,0.065424636,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
90000,1.6491491,4.560326,5.080073,3.3615863,3.6979303,5.180344,3.5924292,2.9763024,36.048317,32.382797,76.791664,32.382797,68.80297,27.383564,87.882675,27.383564,60.560062,34.639107,33.7391,0.094262674,0.094280995,0.0,0.0,0.0,0.0,0.0,0.035808217,0.0,0.0,0.0,0.063702494,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
93600,1.973785,5.0882335,4.9101114,3.4572642,3.7830787,4.9511766,2.7895665,2.976586,36.3708,30.764965,76.64256,30.726622,90.86903,31.077362,64.95028,31.077362,59.98888,33.295055,32.395054,0.09365603,0.093674175,0.0,0.0,0.0,0.0,0.048531372,0.0,0.0,0.0,0.0,0.08189677,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
97200,2.24608,5.4135065,4.7413497,4.4279027,3.447248,5.1197524,3.2230377,2.9763303,36.07585,30.872269,76.462616,30.834373,91.54455,28.203821,64.64543,28.087336,73.14512,33.369576,32.469574,0.09421095,0.09422925,0.0,0.0,0.0,0.0,0.048224024,0.0,0.0,0.031486385,0.0,0.07662092,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
100800,2.7256136,5.500041,4.571555,3.8657043,3.1174912,5.499999,4.496923,2.979237,39.457634,30.50004,76.217705,30.50004,69.497314,31.724955,64.287994,31.616957,80.884766,43.290653,31.69004,0.0877743,0.08779075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03022692,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104400,3.353645,5.500041,4.3962173,3.1946197,2.778461,5.3438134,4.1100163,2.9788325,38.979942,30.50004,73.068115,30.50004,63.82008,34.39474,62.391914,34.39474,57.917065,43.205616,31.69004,0.088693514,0.08871023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108000,3.8757527,5.0455894,4.0582004,3.283805,2.1234496,5.00589,2.5156019,2.97607,35.77826,27.950472,61.414227,27.907757,82.362045,28.423264,55.829834,28.291126,65.336296,39.42124,29.335705,0.094769716,0.09478818,0.0,0.0,0.0,0.0,0.051444676,0.0,0.0,0.03370482,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
111600,3.9204617,4.499116,3.3748934,2.322366,1.4407285,4.816478,1.4011489,2.9750142,34.585762,27.263462,52.44769,27.217884,77.81488,19.567673,77.49855,19.442108,59.887062,38.163013,28.661789,0.096997246,0.097016364,0.0,0.0,0.0,0.0,0.05327995,0.03726528,0.0,0.032789234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
115200,3.681053,3.5064743,3.0300214,1.3499044,0.9567488,4.8246636,0.3693701,2.9755583,35.201084,19.775301,80.68652,19.800215,97.11055,14.733313,76.65363,14.432034,75.254555,38.54894,21.878859,0.09585016,0.095868945,0.0,0.035685454,0.0,0.037380703,0.037356768,0.035093214,0.0,0.026318192,0.026279017,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
118800,3.5570047,2.3343365,3.2104754,1.1533954,0.78063864,5.1170645,0.32680526,2.9766095,36.396435,19.482351,84.19093,19.502796,99.10353,16.453175,78.74822,16.172,79.50107,39.56411,21.492636,0.09360762,0.09362575,0.0,0.03343779,0.0,0.035434444,0.035410836,0.034869127,0.0,0.025355121,0.025316587,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
122400,3.6333628,1.2298597,3.556724,1.7235746,1.0346417,5.499999,1.3175634,2.9773955,37.304455,19.104202,86.561104,19.122513,100.66388,19.22821,81.06608,19.011642,90.0184,40.533974,21.038448,0.09189126,0.0919089,0.0,0.031695988,0.0,0.03364538,0.03362209,0.035113208,0.0,0.02202295,0.021986753,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
126000,3.6852572,0.51437783,4.003692,2.6770606,1.4966972,5.499999,3.0322587,2.975907,35.595898,24.916275,91.57367,24.937437,106.51919,22.36714,83.90014,22.265932,74.83549,28.236767,27.336767,0.09511157,0.09513013,0.0,0.03221388,0.0,0.033606395,0.033583112,0.035251454,0.0,0.029184928,0.0,0.11266918,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
129600,3.55407,0.7207931,4.564309,3.7690125,2.1956313,5.499999,4.164059,2.9759164,35.606037,25.83525,92.49081,25.88968,88.02846,22.424723,84.32322,22.325045,75.6287,28.899899,27.999899,0.09509257,0.09511112,0.0,0.032215536,0.0,0.0,0.0474389,0.035040017,0.0,0.028945861,0.0,0.108349405,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
133200,3.492562,1.0259652,5.1321445,4.464021,2.9163315,5.391382,4.3053994,2.9760187,35.721714,26.113754,92.52892,26.169216,88.585976,27.890036,87.0706,27.890036,60.20536,29.174482,28.274483,0.09487576,0.09489425,0.0,0.032369614,0.0,0.0,0.047283515,0.036544923,0.0,0.0,0.0,0.1077267,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
136800,3.5936258,1.8186656,5.1352324,3.6310768,3.6739597,5.1271753,3.153777,2.9765024,36.276608,31.163307,75.827034,31.163307,68.009415,28.382051,87.65084,28.382051,59.336613,33.509304,32.609306,0.09383328,0.09385147,0.0,0.0,0.0,0.0,0.0,0.03649578,0.0,0.0,0.0,0.080408886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
140400,3.73844,2.5674293,4.896996,3.222739,3.7566059,5.107316,2.862734,2.9758933,35.580772,28.708931,73.37089,28.668623,86.28033,28.49444,63.442287,28.369848,69.313156,31.313156,30.413157,0.09513991,0.09515848,0.0,0.0,0.0,0.0,0.04986084,0.0,0.0,0.03265208,0.0,0.09222211,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
144000,3.7395794,3.0170949,4.55018,3.5662992,3.108236,5.377383,3.2013555,2.9755397,35.177616,28.890394,69.82761,28.848932,84.95176,28.211996,61.199318,28.085405,68.003944,31.473896,30.57389,0.095894,0.09591279,0.0,0.0,0.0,0.0,0.050627332,0.0,0.0,0.032933526,0.0,0.08822284,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
147600,3.669235,3.4117126,4.085185,3.4932618,2.2392938,5.499999,3.0982919,2.9745862,34.103672,28.856281,60.998905,28.813013,82.52568,27.211597,56.238235,27.083294,66.132965,31.4003,30.5003,0.09789256,0.09791195,0.0,0.0,0.0,0.0,0.051805485,0.0,0.0,0.03317838,0.0,0.080449924,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
151200,3.3967772,3.684575,3.3914132,2.4984946,1.4515837,5.2527027,2.001838,2.973126,32.478245,28.582409,52.83863,28.536194,78.25959,17.529741,76.76547,17.40848,60.050728,31.054716,30.154716,0.10089003,0.10091031,0.0,0.0,0.0,0.0,0.05368191,0.036551885,0.0,0.032177806,0.0,0.0646786,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
154800,2.9134347,3.4153588,3.0552106,1.5149362,0.9513724,5.0736995,0.58937526,2.973326,32.700623,26.204168,82.45294,26.235344,100.941444,12.565185,75.87684,12.276718,74.70218,29.550873,28.650873,0.10048183,0.10050199,0.0,0.038239963,0.0,0.03941379,0.03938953,0.03427349,0.0,0.025708178,0.02566941,0.07706283,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
158400,2.488535,2.990966,3.303493,1.4702412,0.74922657,5.3465943,0.48712105,2.9743583,33.849968,26.537813,86.825806,26.564806,103.888275,14.625659,78.04804,14.354717,78.93877,29.830708,28.930708,0.09836258,0.09838209,0.0,0.03603901,0.0,0.037369993,0.037346065,0.03420173,0.0,0.024852963,0.024814771,0.08485391,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
162000,2.2227187,2.7211082,3.724193,2.1935365,0.9939093,5.499999,1.581324,2.9748886,34.443726,26.624231,89.332924,26.650053,105.90551,17.110712,80.10018,16.902367,88.841324,29.873714,28.973713,0.09726133,0.09728053,0.0,0.034642518,0.0,0.03574418,0.035720523,0.03443763,0.0,0.021567846,0.021531982,0.08901652,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
165600,2.0627797,2.5435703,4.2172046,3.2634342,1.4512489,5.499999,3.1086168,2.9753675,34.983227,26.718594,92.18803,26.74287,108.09297,21.253761,83.53808,21.15538,75.07891,29.915287,29.015284,0.096256845,0.096275754,0.0,0.032966264,0.0,0.033829395,0.03380607,0.03481527,0.0,0.02874223,0.0,0.09305575,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
169200,2.0325534,2.6270022,4.7850866,4.0977645,2.1597917,5.499999,4.2862287,2.9755816,35.226357,27.260448,94.155624,27.314785,90.344826,21.675056,84.68369,21.581276,77.68413,30.203638,29.303638,0.09580295,0.095821716,0.0,0.032060787,0.0,0.0,0.04693918,0.034387954,0.0,0.028007971,0.0,0.09233604,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
172800,2.1557693,3.035089,5.272089,4.129558,2.9712212,5.374816,4.2663603,2.9763396,36.086185,31.567585,77.0516,31.567585,69.70469,27.573975,87.697105,27.573975,61.25977,33.86573,32.96573,0.094191514,0.09420981,0.0,0.0,0.0,0.0,0.0,0.036020037,0.0,0.0,0.0,0.071908675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
176400,2.3789883,3.7984006,5.1071596,3.4515529,3.812742,5.181749,3.4738598,2.9765303,36.307835,32.144688,76.75309,32.144688,68.88752,27.904894,88.384605,27.904894,60.622562,34.43186,33.531864,0.093774505,0.09379268,0.0,0.0,0.0,0.0,0.0,0.035819177,0.0,0.0,0.0,0.06983577,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
180000,2.699443,4.441068,4.9316354,3.3375504,3.7509317,4.957846,2.7365465,2.976735,36.53902,30.388592,76.61746,30.350306,90.5593,31.52897,64.975494,31.52897,59.912727,32.951176,32.051174,0.09333885,0.09335689,0.0,0.0,0.0,0.0,0.048495103,0.0,0.0,0.0,0.0,0.08721683,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
183600,2.927713,4.8226266,4.7589483,4.3053145,3.4260306,5.173145,3.3119812,2.9765072,36.278133,30.558758,76.5574,30.521086,91.50974,28.684322,64.64741,28.566463,72.931274,33.090088,32.19009,0.09383047,0.09384867,0.0,0.0,0.0,0.0,0.048073612,0.0,0.0,0.031686775,0.0,0.0826111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
187200,3.1728792,5.470587,4.5952654,3.9746559,3.0956602,5.499999,4.5425105,2.9770653,36.922142,33.514988,76.3265,33.514988,69.41015,29.647873,64.298096,29.543093,80.38346,35.78437,34.884373,0.09261528,0.09263312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029737355,0.0,0.06636285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
190800,3.7904835,5.4999385,4.4267826,3.2823074,2.7763307,5.3407717,4.1098394,2.9790187,39.19763,30.499939,72.936615,30.499939,63.898773,34.759815,62.421085,34.759815,57.90566,43.539074,31.68994,0.088275045,0.08829165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194400,4.3061867,5.079155,4.0815573,3.2572577,2.1244357,5.00229,2.5166066,2.9762328,35.96544,27.979511,61.533962,27.936708,82.26854,28.756718,55.924057,28.623934,65.330765,39.754444,29.36517,0.09441838,0.094436735,0.0,0.0,0.0,0.0,0.051504593,0.0,0.0,0.03379403,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
198000,4.3400917,4.532035,3.4010406,2.2855403,1.4430075,4.806181,1.4400582,2.9751956,34.789974,27.30483,52.882423,27.259424,78.09117,19.90489,77.672035,19.778763,59.935703,38.517796,28.702372,0.09661709,0.09663609,0.0,0.0,0.0,0.0,0.053171113,0.037353702,0.0,0.0328682,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
201600,4.0944557,3.547802,3.031891,1.3651035,0.972013,4.8155107,0.3598451,2.9758048,35.479393,19.82067,80.719444,19.845701,97.17771,15.099257,76.842064,14.796942,75.48845,38.967945,21.92389,0.09532973,0.09534836,0.0,0.035692558,0.0,0.037363034,0.037339106,0.035196025,0.0,0.026367176,0.02632797,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
205200,3.9709747,2.3759665,3.212615,1.17638,0.8078835,5.115781,0.34885973,2.9768002,36.61789,19.540682,84.24304,19.561407,99.23267,16.802702,78.94535,16.522375,79.95557,39.910297,21.549433,0.09319006,0.09320807,0.0,0.033441614,0.0,0.03537177,0.03534818,0.034957502,0.0,0.025313988,0.025275484,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
208800,4.0390964,1.2729781,3.561189,1.7539728,1.0762764,5.499999,1.3969725,2.9776094,37.5512,19.128023,86.60754,19.145943,100.60256,19.61221,81.22707,19.395046,90.333725,40.908195,21.064001,0.09142287,0.09144037,0.0,0.0316812,0.0,0.033725895,0.033702593,0.035242,0.0,0.022055607,0.022019386,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
212400,4.1073756,0.5186566,4.005004,2.6915805,1.5577074,5.499999,3.059327,2.9760654,35.775795,24.960203,91.5687,24.981768,106.62941,22.693483,84.215614,22.592234,75.1411,28.292522,27.392517,0.09477434,0.094792806,0.0,0.03224524,0.0,0.033545084,0.03352181,0.035257738,0.0,0.029191677,0.0,0.11428852,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
216000,3.9571755,0.7442103,4.564635,3.7813,2.2858677,5.499999,4.2344923,2.9760792,35.793243,25.905499,92.24822,25.960941,88.05613,22.785334,84.63079,22.685627,75.97583,28.98428,28.08428,0.09474162,0.09476007,0.0,0.03241505,0.0,0.0,0.04746301,0.03507068,0.0,0.028950268,0.0,0.10976179,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
219600,3.8887286,1.0631257,5.1243124,4.472672,3.0217855,5.3751135,4.231609,2.9762094,35.940697,26.220934,92.64052,26.276434,88.75619,28.285303,87.165535,28.285303,60.439384,29.293587,28.393587,0.09446486,0.094483234,0.0,0.032366037,0.0,0.0,0.047248714,0.03670989,0.0,0.0,0.0,0.10934675,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
223200,3.9827275,1.8715461,5.139604,3.634844,3.7716467,5.1238637,3.1726408,2.9766932,36.49465,31.330288,75.803116,31.330288,67.933334,28.72278,87.960175,28.72278,59.4559,33.683006,32.78301,0.093422495,0.09344057,0.0,0.0,0.0,0.0,0.0,0.036513124,0.0,0.0,0.0,0.08154228,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
