,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,F_PU1,F_PU2,F_PU3,F_PU4,F_PU5,F_PU6,F_PU7,F_PU8,F_PU9,F_PU10,F_PU11,F_V2,S_PU1,S_PU2,S_PU3,S_PU4,S_PU5,S_PU6,S_PU7,S_PU8,S_PU9,S_PU10,S_PU11,S_V2
90000,1.6285456,4.5200405,5.0921283,3.3371878,3.7858784,5.181842,3.4623163,2.9763396,36.086678,32.362755,76.87709,32.362755,68.90453,27.377583,88.107414,27.377583,60.663788,34.62026,33.720257,0.09419056,0.09420885,0.0,0.0,0.0,0.0,0.0,0.035677582,0.0,0.0,0.0,0.06394878,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
93600,1.9649065,5.0445013,4.927757,3.4887972,3.7634053,4.9596786,2.741774,2.9765444,36.320587,30.706833,76.6025,30.668436,90.73553,31.027393,64.87964,31.027393,59.967403,33.23563,32.33563,0.0937505,0.09376866,0.0,0.0,0.0,0.0,0.048570998,0.0,0.0,0.0,0.0,0.081635654,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
97200,2.225472,5.363505,4.7539997,4.4348326,3.4095945,5.170559,3.294531,2.9762979,36.04028,30.821579,76.45576,30.78354,91.305305,28.178543,64.65849,28.062178,73.18089,33.320137,32.420135,0.094277844,0.094296165,0.0,0.0,0.0,0.0,0.04832629,0.0,0.0,0.031468563,0.0,0.076719895,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
100800,2.6878438,5.499953,4.582429,3.851054,3.0911953,5.499999,4.6317983,2.9792233,39.443245,30.499952,76.28822,30.499952,69.42463,31.6839,64.24503,31.575926,80.85791,43.24951,31.689953,0.08780208,0.087818556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030222576,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104400,3.3258886,5.499953,4.411872,3.164947,2.7526858,5.3248563,4.0161057,2.9787908,38.933712,30.499952,72.648544,30.499952,63.61174,34.3525,62.31577,34.3525,57.7885,43.153984,31.689953,0.08878229,0.08879904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108000,3.8372712,5.033274,4.055401,3.28014,2.0965304,5.028084,2.5425026,2.9760141,35.714542,27.93749,61.092545,27.894762,82.33106,28.382662,55.934914,28.250608,65.34092,39.35451,29.322786,0.0948892,0.09490769,0.0,0.0,0.0,0.0,0.051453542,0.0,0.0,0.033692893,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
111600,3.8775759,4.486703,3.3643825,2.30979,1.4378171,4.8370533,1.4226639,2.9749815,34.547916,27.252178,52.254677,27.206623,77.83505,19.501324,77.40843,19.37594,59.91629,38.10975,28.650404,0.09706763,0.09708677,0.0,0.0,0.0,0.0,0.053265404,0.037278052,0.0,0.032763027,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
115200,3.6378415,3.4874382,3.0285518,1.3499044,0.9547489,4.834793,0.3862621,2.9755583,35.199074,19.758013,80.83264,19.782211,97.04036,14.727964,76.74116,14.4262295,75.19111,38.546936,21.860924,0.09585392,0.09587269,0.0,0.035592083,0.0,0.03742319,0.037399247,0.035039607,0.0,0.02633976,0.026300568,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
118800,3.5186627,2.315389,3.2154613,1.1342338,0.7805549,5.1204967,0.31265727,2.9765954,36.378845,19.482435,84.25581,19.502861,99.15811,16.467667,78.807526,16.188498,79.76361,39.539795,21.490751,0.09364075,0.093658894,0.0,0.03339792,0.0,0.035386015,0.03536242,0.03484236,0.0,0.025257776,0.025219308,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
122400,3.5945559,1.2125678,3.5633843,1.7047013,1.0317675,5.499999,1.3798945,2.9774141,37.324936,19.085537,86.70793,19.103048,100.57951,19.28817,81.16088,19.072601,90.19265,40.53846,21.019403,0.09185241,0.09187003,0.0,0.031587597,0.0,0.033706393,0.03368309,0.03509275,0.0,0.021968268,0.02193211,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
126000,3.6428552,0.5153034,4.014789,2.6520946,1.5107336,5.499999,3.0484717,2.9758933,35.57843,24.90869,91.47746,24.930265,106.54473,22.384758,84.01757,22.284271,75.20121,28.22633,27.32633,0.0951443,0.09516287,0.0,0.032270677,0.0,0.03357533,0.033552058,0.035193738,0.0,0.02907227,0.0,0.11227709,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
129600,3.5107331,0.7149749,4.571741,3.7607713,2.2233784,5.499999,4.2230234,2.9759026,35.58706,25.821321,92.35412,25.876314,88.19731,22.357159,84.31706,22.257668,75.65154,28.884518,27.984518,0.09512813,0.095146686,0.0,0.032294054,0.0,0.0,0.04733756,0.0350043,0.0,0.0289161,0.0,0.10813386,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
133200,3.4562201,1.0187051,5.134302,4.474532,2.9393535,5.3784995,4.247487,2.9760141,35.714115,26.100817,92.60996,26.156055,88.68854,27.922512,87.107605,27.922512,60.2909,29.15766,28.25766,0.09489002,0.09490851,0.0,0.03230887,0.0,0.0,0.047218636,0.03654234,0.0,0.0,0.0,0.10742461,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
136800,3.5636926,1.8167123,5.1362185,3.6356812,3.6975768,5.120692,3.138085,2.976498,36.271633,31.149532,75.75422,31.149532,67.82115,28.345417,87.563225,28.345417,59.472755,33.49483,32.594833,0.09384264,0.093860835,0.0,0.0,0.0,0.0,0.0,0.036523946,0.0,0.0,0.0,0.08029064,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
140400,3.7143486,2.56309,4.8938518,3.2243946,3.7372768,5.094005,2.8676176,2.9758747,35.558357,28.691713,73.47492,28.651224,86.02343,28.515205,63.430576,28.391056,69.56234,31.296213,30.396214,0.095181875,0.09520046,0.0,0.0,0.0,0.0,0.04998341,0.0,0.0,0.032588914,0.0,0.09213569,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
144000,3.7162833,3.0105371,4.551482,3.524646,3.0941067,5.378388,3.2873595,2.9755166,35.151737,28.887949,69.96782,28.84642,84.86673,28.162888,61.079475,28.036324,67.96987,31.472532,30.572533,0.095942326,0.09596114,0.0,0.0,0.0,0.0,0.050668683,0.0,0.0,0.03292958,0.0,0.088347934,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
147600,3.6442273,3.4061966,4.0914264,3.4266706,2.2147372,5.499999,3.1457121,2.9745724,34.08623,28.848593,61.79908,28.805456,82.695274,27.143444,56.080395,27.01398,65.45023,31.391106,30.491104,0.0979249,0.0979443,0.0,0.0,0.0,0.0,0.051719584,0.0,0.0,0.033335,0.0,0.08029703,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
151200,3.3692951,3.6771197,3.416612,2.4816864,1.442868,5.277473,1.9945174,2.973098,32.448425,28.572294,52.6167,28.526157,78.357666,17.484276,76.80565,17.363194,60.100857,31.043186,30.143187,0.10094472,0.100965016,0.0,0.0,0.0,0.0,0.053632423,0.03650453,0.0,0.032150883,0.0,0.064463615,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
154800,2.8847528,3.4128242,3.0499737,1.5240798,0.96768767,5.102386,0.5959516,2.973298,32.664635,26.191229,82.296295,26.223019,100.97569,12.550567,75.97102,12.2617655,74.64596,29.537497,28.637493,0.10054794,0.100568116,0.0,0.038315598,0.0,0.03937889,0.03935463,0.034208886,0.0,0.02572414,0.025685359,0.07689024,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
158400,2.459188,2.9865386,3.2923403,1.4757478,0.7932704,5.3647885,0.5107568,2.9744048,33.897396,26.53685,86.70203,26.564281,103.89959,14.627952,78.0719,14.357368,78.98474,29.831865,28.93186,0.09827476,0.09829426,0.0,0.036108214,0.0,0.03736035,0.037336424,0.034188766,0.0,0.024835369,0.024797186,0.08502309,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
162000,2.199999,2.7179828,3.7071335,2.2091448,1.0366509,5.499999,1.6279445,2.974884,34.435886,26.625347,89.48242,26.650593,105.88073,17.077454,80.22174,16.867899,88.670296,29.874239,28.97424,0.097275905,0.097295105,0.0,0.034554865,0.0,0.03576567,0.03574201,0.034346435,0.0,0.021635318,0.021599403,0.08909061,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
165600,2.0416412,2.5419006,4.204815,3.2683547,1.4999808,5.499999,3.1067286,2.975363,34.976448,26.71302,92.371056,26.73621,107.96219,21.169538,83.437294,21.070438,74.64902,29.909851,29.009846,0.0962695,0.096288405,0.0,0.032848153,0.0,0.03394678,0.033923436,0.034825135,0.0,0.028855933,0.0,0.09295177,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
169200,2.0107317,2.624514,4.778752,4.086333,2.1868227,5.499999,4.2465844,2.975591,35.23471,27.256472,94.21927,27.31033,90.02077,21.67174,84.86978,21.578375,77.87462,30.201624,29.301624,0.095787324,0.095806085,0.0,0.032017123,0.0,0.0,0.04711928,0.034275495,0.0,0.027941566,0.0,0.09245679,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
172800,2.132738,3.017653,5.2741356,4.124321,3.023218,5.3821087,4.2946467,2.976321,36.06586,31.560617,77.06388,31.560617,69.62823,27.55073,87.67492,27.55073,61.14842,33.859383,32.95938,0.094229706,0.09424801,0.0,0.0,0.0,0.0,0.0,0.036019363,0.0,0.0,0.0,0.07202399,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
176400,2.3555663,3.7821877,5.1097736,3.4235172,3.8666363,5.1807904,3.4509587,2.9765024,36.275707,32.112946,76.70188,32.112946,69.16296,27.843239,88.10625,27.843239,60.53387,34.399204,33.499207,0.09383499,0.09385317,0.0,0.0,0.0,0.0,0.0,0.03594134,0.0,0.0,0.0,0.069660544,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
180000,2.6840951,4.4296923,4.9300823,3.3460057,3.7155943,4.951381,2.690205,2.9767258,36.530334,30.388796,76.65971,30.350613,90.6915,31.53258,64.93286,31.53258,59.8198,32.95176,32.051758,0.09335523,0.093373284,0.0,0.0,0.0,0.0,0.04842362,0.0,0.0,0.0,0.0,0.087350726,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
183600,2.9064443,4.810497,4.7603436,4.3096123,3.3964045,5.211049,3.3804235,2.9764745,36.24396,30.531998,76.34336,30.4944,91.57506,28.663965,64.624916,28.546558,73.14069,33.060844,32.160843,0.09389479,0.093913,0.0,0.0,0.0,0.0,0.048023436,0.0,0.0,0.031620853,0.0,0.08225724,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
187200,3.1485226,5.456444,4.5794244,3.9718652,3.073894,5.499999,4.664122,2.9770699,36.927612,33.509224,76.40737,33.509224,69.55934,29.630013,64.31387,29.525843,80.6622,35.779106,34.87911,0.09260501,0.09262285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029643865,0.0,0.066459835,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
190800,3.771238,5.499953,4.417239,3.2973576,2.7600713,5.330307,4.0491548,2.979028,39.209873,30.499952,73.00843,30.499952,63.67755,34.80184,62.328915,34.80184,57.86248,43.58055,31.689953,0.08825149,0.08826809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194400,4.2863646,5.083987,4.0756507,3.2488954,2.095991,5.014587,2.5323172,2.9762328,35.964184,27.985153,61.25339,27.942364,82.29598,28.767553,56.092876,28.634668,65.290955,39.747887,29.370731,0.09442075,0.09443911,0.0,0.0,0.0,0.0,0.051493924,0.0,0.0,0.033807326,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
198000,4.320214,4.5369835,3.3885763,2.277392,1.4485885,4.814934,1.4390815,2.9751909,34.780746,27.30185,52.838028,27.25628,77.86776,19.870325,77.48586,19.744127,59.866657,38.501884,28.70013,0.09663427,0.09665328,0.0,0.0,0.0,0.0,0.05327325,0.037435222,0.0,0.032877613,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
201600,4.0768056,3.544537,3.0329049,1.3369936,0.9608788,4.803642,0.40303317,2.9757817,35.453693,19.8393,80.85471,19.864122,97.24656,15.128959,76.81108,14.826358,75.482124,38.94062,21.940134,0.095377825,0.09539647,0.0,0.035625953,0.0,0.03732188,0.03729796,0.03523107,0.0,0.026380517,0.0263413,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
205200,3.9554129,2.3742828,3.2214143,1.1633111,0.7880056,5.1017165,0.35646856,2.9768188,36.639416,19.545706,84.376724,19.565931,99.21833,16.811787,78.9188,16.531538,79.97439,39.931736,21.553442,0.09314942,0.09316742,0.0,0.033362407,0.0,0.035388548,0.03536496,0.03497816,0.0,0.025310168,0.025271665,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
208800,4.0259805,1.2715595,3.574788,1.7336856,1.0568451,5.499999,1.3891404,2.9775674,37.501606,19.09856,86.36692,19.117062,100.53758,19.536577,81.23227,19.31894,90.20332,40.860363,21.037794,0.091517076,0.091534615,0.0,0.031818938,0.0,0.033760395,0.033737086,0.035195604,0.0,0.022081664,0.022045424,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
212400,4.0881395,0.5170102,4.0095897,2.6694145,1.5345833,5.499999,3.0527227,2.9760933,35.806778,24.96788,91.73156,24.989052,106.67038,22.69803,84.04573,22.596884,75.19532,28.298508,27.398508,0.09471621,0.09473466,0.0,0.032145657,0.0,0.033511806,0.03348854,0.03535785,0.0,0.029175693,0.0,0.114398494,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
216000,3.944246,0.7431127,4.573685,3.7756634,2.2404194,5.499999,4.217963,2.976084,35.798695,25.911758,92.258095,25.967253,88.13897,22.725052,84.384636,22.625841,76.15328,28.990963,28.090963,0.09473138,0.09474984,0.0,0.032412857,0.0,0.0,0.047420427,0.035177883,0.0,0.028872825,0.0,0.109877616,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
219600,3.8778176,1.0636374,5.135344,4.479788,2.960087,5.379625,4.247319,2.9762235,35.95759,26.22161,92.698265,26.276922,88.76506,28.276152,87.19752,28.276152,60.315147,29.293266,28.393261,0.09443314,0.0944515,0.0,0.032329615,0.0,0.0,0.047243666,0.036687773,0.0,0.0,0.0,0.10929722,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
223200,3.973942,1.8804526,5.1370463,3.6373928,3.7130084,5.1229153,3.149647,2.976656,36.44956,31.31912,76.08964,31.31912,67.97396,28.724463,87.94928,28.724463,59.5867,33.67066,32.77066,0.093507506,0.09352561,0.0,0.0,0.0,0.0,0.0,0.03652008,0.0,0.0,0.0,0.08134385,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
